ParticipantId,Town/City Size,Age,Community Type,Education,Occupation Field,Relationship/Marital Status,Political Party,Ethnicity,Migrant Status,Personal Income,Country Of Residence,Household Income,Years of Residence,Race,Employment Status,all_use,all_dd_1,all_dd_2,all_dd_3,all_dd_4,thoughts_BC_A,feel_BC_A,battery_BC_A_1,battery_BC_A_2,battery_BC_A_3,feel_OS_A,battery_OS_A_1,battery_OS_A_2,battery_OS_A_3,feel_DS_A,battery_DS_A_1,battery_DS_A_2,battery_DS_A_3,feel_HD_A,battery_HD_A_1,battery_HD_A_2,battery_HD_A_3,thoughts_A_compare,feel_A_compare,like_A_compare,stands_A_compare,thoughts_EX_B,feel_EX_B,battery_EX_B_1,battery_EX_B_2,battery_EX_B_3,feel_DS_B,battery_DS_B_1,battery_DS_B_2,battery_DS_B_3,feel_HD_B,battery_HD_B_1,battery_HD_B_2,battery_HD_B_3,feel_OS_B,battery_OS_B_1,battery_OS_B_2,battery_OS_B_3,thoughts_B_compare,feel_B_compare,like_B_compare,If_stand_out,thoughts_YOU_C,like_YOU_C,battery_YOU_C_1,battery_YOU_C_2,battery_YOU_C_3,feel_OS_C,battery_OS_C_1,battery_OS_C_2,battery_OS_C_3,feel_HD_C,battery_HD_C_1,battery_HD_C_2,battery_HD_C_3,feel_DS_C,battery_DS_C_1,battery_DS_C_2,battery_DS_C_3,thoughts_C_compare,feel_C_compare,like_C_compare,stands_C_compare,thoughts_AXE_D,feel_AXE_D,battery_AXE_D_1,battery_AXE_D_2,battery_AXE_D_3,feel_HD_D,QID60_1,QID60_2,QID60_3,feel_DS_D,battery_DS_D_1,battery_DS_D_2,battery_DS_D_3,feel_OS_D,battery_OS_D_1,battery_OS_D_2,battery_OS_D_3,treatment,treatment_YOU,treatment_EX
6EE52562390F4564BA965E2054A24FD5,"City 100,000 - 199,000",41,"Suburban – Mainly residential, bordering a city or large town","Bachelor's degree (for example: BA, AB, BS)",Information Technology,Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$40,000-$49,999",United States,"$60,000-$69,999",My whole life,White,Full-time,I use deodorant,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,423423,Somewhat Dislike it,Disagree,Disagree,Disagree,Dislike it,Disagree,Disagree,Disagree,Somewhat Dislike it,Disagree,Disagree,Disagree,Somewhat Dislike it,Disagree,Disagree,Disagree,5432345,2,Somewhat Dislike it,Does not stand out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
691FD528B9184DDDB08DCB0ADE480B2E,"City 50,000 - 99,000",25,"Suburban – Mainly residential, bordering a city or large town","Bachelor's degree (for example: BA, AB, BS)",Business Management & Administration,In a relationship,Republican,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$60,000-$69,999",United States,"$60,000-$69,999",My whole life,White,Full-time,I use deodorant,2,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I like the new tagline and I also like how it is displayed with the font and graphics ,Somewhat Like it,Somewhat Agree,Somewhat Agree,Agree,Like it,Agree,Agree,Strongly Agree,Dislike it,Disagree,Disagree,Disagree,Somewhat Dislike it,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,"The new tagline is catchy and more appealing than the old one, and I think it aligns more with modern views ",6,Like it,Stands out from the competition,,,,,,,,,,,,,,,,,,,1,
A40D4CF376F440118A2186018694577F,"City 200,000+",32,"Urban – Densely populated, city or large town","Associate degree (for example: AA, AS)",Other,Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$30,000-$39,999",United States,"$30,000-$39,999",My whole life,White,Prefer not to say,I use deodorant,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It doesnt really say much,Like it,Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Like it,Somewhat Agree,Agree,Agree,Like it,Strongly Agree,Strongly Agree,Strongly Agree,0,0,0
A83F76FE2BE94F8E9E5E2AC5B0B47DF4,"City 20,000 - 49,000",31,"Urban – Densely populated, city or large town","Bachelor's degree (for example: BA, AB, BS)",Education & Training,Single,Independent,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$10,000-$19,999",United States,"$20,000-$29,999",Over 20 years,White,Full-time,I use deodorant,3,1,2,4,,,,,,,,,,,,,,,,,,,,,,I feel that this scent would be a sweet and strong smell. ,Somewhat Like it,Agree,Agree,Agree,Like it,Agree,Strongly Agree,Agree,Neutral,Neutral,Somewhat Agree,Neutral,Strongly Like it,Strongly Agree,Strongly Agree,Strongly Agree,I feel they try their best to provide these new and strong scents that give a great smell and a cool and hip energy.,6,Somewhat Like it,Stands out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
A3B83172E928434E9BC83C87525CC2D3,"City 200,000+",34,"Suburban – Mainly residential, bordering a city or large town",High school graduate - high school diploma or the equivalent (for example: GED),"Transportation, Distribution & Logistics",Single,Democrat,"Yes, Mexican, Mexican Am., Chicano","I was born in the United States, but both of my parents were not","$40,000-$49,999",United States,"$40,000-$49,999",My whole life,White,Full-time,I use deodorant,3,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I think its fine, but I am not feeling evolved myself so it does not appeal to me.",Neutral,Neutral,Somewhat Disagree,Disagree,Like it,Agree,Somewhat Agree,Somewhat Agree,Strongly Like it,Strongly Agree,Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,"Again, it is fine just not really appealing to me.",3,Somewhat Dislike it,Does not stand out from the competition,,,,,,,,,,,,,,,,,,,1,
FE313B9D50C84BAFBE18D1622E268C73,"City 200,000+",33,"Urban – Densely populated, city or large town","Bachelor's degree (for example: BA, AB, BS)",Information Technology,In a relationship,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$80,000-$89,999",United States,"$80,000-$89,999",My whole life,White,Full-time,I use deodorant,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,I'm sure it will resonate with some.,Somewhat Dislike it,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Like it,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Like it,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Like it,Somewhat Agree,Somewhat Agree,Somewhat Agree,It's npot too bad.,4,Somewhat Dislike it,Does not stand out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
67D7C1011797450CA613E3C92A47118F,"City 20,000 - 49,000",69,"Suburban – Mainly residential, bordering a city or large town","Associate degree (for example: AA, AS)",Retail,Divorced,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$20,000-$29,999",United States,"$70,000-$79,999",My whole life,White,Part-time,I don't use deodorant,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Somehow, the deodorant is going to help a guy get girls.",Strongly Like it,Strongly Disgaree,Strongly Agree,Neutral,Strongly Like it,Strongly Disgaree,Somewhat Disagree,Neutral,Strongly Like it,Strongly Disgaree,Strongly Agree,Neutral,Strongly Dislike it,Strongly Disgaree,Strongly Agree,Neutral,0,0,0
6DA6EDC1BEC94DAF8A827B6A535E48C3,"City 100,000 - 199,000",48,"Suburban – Mainly residential, bordering a city or large town","Bachelor's degree (for example: BA, AB, BS)",I’d Rather Not Say,Married,Republican,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$10,000-$19,999",United States,"$80,000-$89,999",My whole life,White,"Not in paid work (e.g., homemaker, disabled)",I use deodorant,4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,axe says they have evolved but i still see the same product,Somewhat Dislike it,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Like it,Somewhat Agree,Somewhat Agree,Agree,Like it,Agree,Agree,Agree,Like it,Somewhat Agree,Somewhat Agree,Somewhat Agree,I still think it the same product. ,3,Somewhat Dislike it,Does not stand out from the competition,,,,,,,,,,,,,,,,,,,1,
F33139BDBD334EC692238CB7599B1D34,"City 200,000+",26,"Urban – Densely populated, city or large town","Bachelor's degree (for example: BA, AB, BS)","Agriculture, Food and Natural Resources",In a relationship,Independent,"No, not of Hispanic, Latino, or Spanish origin","I was born in the United States, but both of my parents were not","$30,000-$39,999",United States,"$30,000-$39,999",Over 20 years,Japanese,Full-time,I don't use deodorant,3,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,great,Neutral,Somewhat Agree,Somewhat Agree,Agree,Like it,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Dislike it,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,0,0,0
ECAEFE5A63CA472C8E6CABBEFAC0539D,"City 200,000+",31,"Urban – Densely populated, city or large town","Bachelor's degree (for example: BA, AB, BS)",I’d Rather Not Say,Single,Republican,"No, not of Hispanic, Latino, or Spanish origin","I was born in the United States, but one of my parents was not","$10,000-$19,999",United States,"$10,000-$19,999",My whole life,White,Part-time,I use deodorant,3,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Looking to future and advancing,Like it,Agree,Somewhat Agree,Agree,Like it,Agree,Agree,Agree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Strongly Like it,Strongly Agree,Strongly Agree,Strongly Agree,Goes well with brand identity,5,Somewhat Like it,Stands out from the competition,,,,,,,,,,,,,,,,,,,1,
CD8E954FE0694EA89A0B503BB91CA39D,"City 50,000 - 99,000",40,"Urban – Densely populated, city or large town","Associate degree (for example: AA, AS)",Other,Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$20,000-$29,999",United States,"$40,000-$49,999",15-20 years,White,Full-time,I use deodorant,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,It is lame. I dont like it,Strongly Dislike it,Neutral,Disagree,Strongly Disgaree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Like it,Agree,Agree,Agree,I dont like it very much. I think it tries to sound edgy.,2,Dislike it,Does not stand out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
9777F5E6D87C48A6A97B04780A49FA49,"City 200,000+",66,"Suburban – Mainly residential, bordering a city or large town","Some college, but no degree",Arts,Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$70,000-$79,999",United States,"$70,000-$79,999",My whole life,White,Full-time,I use deodorant,2,1,4,3,I suppose they're targeting a certain age group and possibly an ethnic group as well.,Neutral,Agree,Somewhat Agree,Somewhat Agree,Like it,Agree,Agree,Agree,Like it,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,I'm not sure I understand it. I think I like the old one better.,3,Somewhat Dislike it,Does not stand out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1189B8FB342744EDA833A3F353E5D098,"City 100,000 - 199,000",26,"Urban – Densely populated, city or large town","Bachelor's degree (for example: BA, AB, BS)",Other,Single,Independent,"No, not of Hispanic, Latino, or Spanish origin","I was born in the United States, but one of my parents was not","$20,000-$29,999",United States,"$20,000-$29,999",My whole life,Korean,Unemployed,I use deodorant,1,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no opinion ,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,no opinion ,4,Neutral,Does not stand out from the competition,,,,,,,,,,,,,,,,,,,1,
D6F6579F5929468FBE9AF42299F9A2A9,"City 100,000 - 199,000",25,"Urban – Densely populated, city or large town","Associate degree (for example: AA, AS)",I’d Rather Not Say,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$10,000-$19,999",United States,"$10,000-$19,999",My whole life,Black or African American,Unemployed,I use deodorant,3,4,1,2,,,,,,,,,,,,,,,,,,,,,,I have positive thoughts about it,Neutral,Agree,Somewhat Agree,Agree,Like it,Neutral,Neutral,Agree,Like it,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,I want to know more about it,4,Neutral,Does not stand out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
63DFEBC1BE3346C7ADDFAD262E12BD9C,"City 200,000+",43,"Suburban – Mainly residential, bordering a city or large town","Bachelor's degree (for example: BA, AB, BS)",Retail,Divorced,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$20,000-$29,999",United States,"$20,000-$29,999",My whole life,White,Full-time,I use deodorant,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I don't know what they have changed but I would never buy axe.,Strongly Dislike it,Strongly Disgaree,Disagree,Strongly Disgaree,Like it,Somewhat Agree,Neutral,Agree,Like it,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Like it,Disagree,Agree,Neutral,I'm not sure what they changed but I still wouldn't want to try it or spend money on it.,2,Strongly Dislike it,Does not stand out from the competition,,,,,,,,,,,,,,,,,,,1,
9068FE6340C143BB9966E736D9F0CFEE,"City 20,000 - 49,000",39,"Suburban – Mainly residential, bordering a city or large town","Associate degree (for example: AA, AS)",Information Technology,Single,Democrat,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$40,000-$49,999",United States,"$40,000-$49,999",My whole life,White,Full-time,I use deodorant,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gos together well,Like it,Agree,Agree,Neutral,Somewhat Dislike it,Somewhat Disagree,Strongly Disgaree,Strongly Disgaree,Like it,Somewhat Agree,Agree,Strongly Agree,Like it,Agree,Somewhat Agree,Somewhat Agree,0,0,0
ED5E6E7C27AD42AB8E7296C35BFDD2B6,"City 100,000 - 199,000",55,"Suburban – Mainly residential, bordering a city or large town","Bachelor's degree (for example: BA, AB, BS)",Hospitality & Tourism,Single,Republican,"No, not of Hispanic, Latino, or Spanish origin","I was born in the United States, but one of my parents was not","$80,000-$89,999",United States,"$80,000-$89,999",Over 20 years,White,Full-time,I use deodorant,2,3,1,4,I think it's catchy if it works and a good product; I'll try it,Somewhat Like it,Agree,Agree,Somewhat Agree,Somewhat Like it,Agree,Agree,Somewhat Agree,Like it,Agree,Agree,Somewhat Agree,Like it,Agree,Agree,Somewhat Agree,I like Bro Code more than the New Axe Effect. I can relate to it more and it's catchy for a deodorant product,6,Like it,Stands out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
3CD7929A22E5457CB60ADE088C2ED69C,"City 100,000 - 199,000",50,"Urban – Densely populated, city or large town",High school graduate - high school diploma or the equivalent (for example: GED),Architecture and Construction,Single,Republican,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$50,000-$59,999",United States,"$50,000-$59,999",My whole life,White,Full-time,I use deodorant,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,It's funny and catchy,Like it,Strongly Agree,Strongly Agree,Strongly Agree,Like it,Agree,Agree,Agree,Like it,Agree,Agree,Agree,Like it,Agree,Agree,Agree,I really like it and feel it will grab attention,7,Strongly Like it,Stands out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
403FEDA4B9F8400BA54A8C65B0F33CA5,"City 200,000+",20,"Suburban – Mainly residential, bordering a city or large town","Some college, but no degree",Other,Single,Something else,"No, not of Hispanic, Latino, or Spanish origin","I was born in the United States, but both of my parents were not","$10,000-$19,999",United States,"$10,000-$19,999",My whole life,White,Student,I use deodorant,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i think it suits the brand,Somewhat Dislike it,Somewhat Disagree,Disagree,Disagree,Like it,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,i like it better than the current one,6,Somewhat Like it,Stands out from the competition,,,,,,,,,,,,,,,,,,,1,
67E4F319881D4A1385137B4B7688A1DC,"City 50,000 - 99,000",48,"Suburban – Mainly residential, bordering a city or large town",High school graduate - high school diploma or the equivalent (for example: GED),Manufacturing,Married,Independent,"No, not of Hispanic, Latino, or Spanish origin",Both I and my parents were born in the United States,"$60,000-$69,999",United States,"$80,000-$89,999",My whole life,White,Full-time,I use deodorant,4,2,3,1,It is geared towards younger consumers which is more likely Axe's market. ,Neutral,Neutral,Neutral,Neutral,Like it,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,I think it is targeting younger consumers and might seem like it is coming off as a corporation trying to use new slang terms. ,3,Somewhat Dislike it,Stands out from the competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
